Unnamed: 0,game_id,season,home_team,away_team,week,season_type,team.x,team.y,url
335,2010_05_KC_IND,2010,IND,KC,5,REG,colts,chiefs,https://www.nfl.com/plus/games/chiefs-at-colts-2010-reg-5/
776,2011_17_BUF_NE,2011,NE,BUF,17,REG,patriots,bills,https://www.nfl.com/plus/games/bills-at-patriots-2011-reg-17/
2158,2017_02_GB_ATL,2017,ATL,GB,2,REG,falcons,packers,https://www.nfl.com/plus/games/packers-at-falcons-2017-reg-2/
2727,2019_04_NE_BUF,2019,BUF,NE,4,REG,bills,patriots,https://www.nfl.com/plus/games/patriots-at-bills-2019-reg-4/
1056,2012_17_STL_SEA,2012,SEA,LA,17,REG,seahawks,rams,https://www.nfl.com/plus/games/rams-at-seahawks-2012-reg-17/
2821,2019_11_BUF_MIA,2019,MIA,BUF,11,REG,dolphins,bills,https://www.nfl.com/plus/games/bills-at-dolphins-2019-reg-11/
854,2012_04_MIA_ARI,2012,ARI,MIA,4,REG,cardinals,dolphins,https://www.nfl.com/plus/games/dolphins-at-cardinals-2012-reg-4/
3866,2023_08_BAL_ARI,2023,ARI,BAL,8,REG,cardinals,ravens,https://www.nfl.com/plus/games/ravens-at-cardinals-2023-reg-8/
3045,2020_08_IND_DET,2020,DET,IND,8,REG,lions,colts,https://www.nfl.com/plus/games/colts-at-lions-2020-reg-8/
358,2010_07_ARI_SEA,2010,SEA,ARI,7,REG,seahawks,cardinals,https://www.nfl.com/plus/games/cardinals-at-seahawks-2010-reg-7/
2038,2016_12_MIN_DET,2016,DET,MIN,12,REG,lions,vikings,https://www.nfl.com/plus/games/vikings-at-lions-2016-reg-12/
1336,2014_01_BUF_CHI,2014,CHI,BUF,1,REG,bears,bills,https://www.nfl.com/plus/games/bills-at-bears-2014-reg-1/
1244,2013_12_TEN_OAK,2013,LV,TEN,12,REG,raiders,titans,https://www.nfl.com/plus/games/titans-at-raiders-2013-reg-12/
2572,2018_12_NE_NYJ,2018,NYJ,NE,12,REG,jets,patriots,https://www.nfl.com/plus/games/patriots-at-jets-2018-reg-12/
3203,2020_19_TB_NO,2020,NO,TB,2,POST,saints,buccaneers,https://www.nfl.com/plus/games/buccaneers-at-saints-2020-post-2/
1179,2013_08_CLE_KC,2013,KC,CLE,8,REG,chiefs,browns,https://www.nfl.com/plus/games/browns-at-chiefs-2013-reg-8/
3059,2020_09_CHI_TEN,2020,TEN,CHI,9,REG,titans,bears,https://www.nfl.com/plus/games/bears-at-titans-2020-reg-9/
3992,2023_16_JAX_TB,2023,TB,JAX,16,REG,buccaneers,jaguars,https://www.nfl.com/plus/games/jaguars-at-buccaneers-2023-reg-16/
2351,2017_15_DEN_IND,2017,IND,DEN,15,REG,colts,broncos,https://www.nfl.com/plus/games/broncos-at-colts-2017-reg-15/
2877,2019_14_TEN_OAK,2019,LV,TEN,14,REG,raiders,titans,https://www.nfl.com/plus/games/titans-at-raiders-2019-reg-14/
